region,2014_median_income,2014_pop_est,census_name,notes
newyork,"67,066","20,092,883","New York-Newark-Jersey City, NY-NJ-PA MSA",
losangeles,"60,514","13,262,220","Los Angeles-Long Beach-Anaheim, CA MSA",combines losangeles and orangecounty regions
chicago,"61,598","9,554,598","Chicago-Naperville-Elgin, IL-IN-WI MSA",
sfbay,"80,600","8,607,423","San Jose-San Francisco-Oakland, CA CSA",
dallas,"59,530","6,954,330","Dallas-Fort Worth-Arlington, TX MSA",
houston,"60,072","6,490,180","Houston-The Woodlands-Sugar Land, TX MSA",
philadelphia,"62,171","6,051,170","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",
washingtondc,"91,193","6,033,737","Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",
miami,"48,458","5,929,819","Miami-Fort Lauderdale-West Palm Beach, FL MSA",
atlanta,"56,166","5,614,323","Atlanta-Sandy Springs-Roswell, GA MSA",
boston,"75,667","4,732,161","Boston-Cambridge-Newton, MA-NH MSA",
phoenix,"53,365","4,489,109","Phoenix-Mesa-Scottsdale, AZ MSA",
inlandempire,"54,586","4,441,890","Riverside-San Bernardino-Ontario, CA MSA",corresponds to inlandempire region
detroit,"52,462","4,296,611","Detroit-Warren-Dearborn, MI MSA",
seattle,"71,273","3,671,478","Seattle-Tacoma-Bellevue, WA MSA",
minneapolis,"69,111","3,495,176","Minneapolis-St. Paul-Bloomington, MN-WI MSA",
sandiego,"66,192","3,263,431","San Diego-Carlsbad, CA MSA",
tampa,"46,876","2,915,582","Tampa-St. Petersburg-Clearwater, FL MSA",
stlouis,"55,535","2,806,207","St. Louis, MO-IL MSA",
baltimore,"71,501","2,785,874","Baltimore-Columbia-Towson, MD MSA",
denver,"66,870","2,754,258","Denver-Aurora-Lakewood, CO MSA",
charlotte,"53,549","2,380,314","Charlotte-Concord-Gastonia, NC-SC MSA",
pittsburgh,"52,293","2,355,968","Pittsburgh, PA MSA",
portland,"60,248","2,348,247","Portland-Vancouver-Hillsboro, OR-WA MSA",
sanantonio,"52,689","2,328,652","San Antonio-New Braunfels, TX MSA",
orlando,"48,270","2,321,418","Orlando-Kissimmee-Sanford, FL MSA",
sacramento,"60,015","2,244,397","Sacramento-Roseville-Arden Arcade, CA MSA",
cincinnati,"55,729","2,149,449","Cincinnati, OH-KY-IN MSA",
kansascity,"56,994","2,071,133","Kansas City, MO-KS MSA",
lasvegas,"51,214","2,069,681","Las Vegas-Henderson-Paradise, NV MSA",
cleveland,"49,889","2,063,598","Cleveland-Elyria, OH MSA",
columbus,"56,371","1,994,536","Columbus, OH MSA",
indianapolis,"52,268","1,971,274","Indianapolis-Carmel-Anderson, IN MSA",
austin,"63,603","1,943,299","Austin-Round Rock, TX MSA",
nashville,"52,640","1,792,649","Nashville-Davidson-Murfreesboro-Franklin, TN MSA",
norfolk,"58,871","1,716,624","Virginia Beach-Norfolk-Newport News, VA-NC MSA",
providence,"55,836","1,609,367","Providence-Warwick, RI-MA MSA",
milwaukee,"53,164","1,572,245","Milwaukee-Waukesha-West Allis, WI MSA",
jacksonville,"51,117","1,419,127","Jacksonville, FL MSA",
memphis,"45,844","1,343,230","Memphis, TN-MS-AR MSA",
oklahomacity,"52,416","1,336,767","Oklahoma City, OK MSA",
louisville,"50,932","1,269,702","Louisville/Jefferson County, KY-IN MSA",
richmond,"60,936","1,260,029","Richmond, VA MSA",
neworleans,"46,784","1,251,849","New Orleans-Metairie, LA MSA",
raleigh,"62,313","1,242,974","Raleigh-Cary, NC MSA",
hartford,"68,532","1,214,295","Hartford-West Hartford-East Hartford, CT MSA",
saltlakecity,"62,642","1,153,340","Salt Lake City, UT MSA",
bham,"47,046","1,143,772","Birmingham-Hoover, AL MSA",
buffalo,"50,074","1,136,360","Buffalo-Cheektowaga-Niagara Falls, NY MSA",
rochester,"51,086","1,083,393","Rochester, NY MSA",
grandrapids,"54,372","1,027,703","Grand Rapids-Wyoming, MI MSA",
tucson,"45,856","1,004,516","Tucson, AZ MSA",
honolulu,"74,634","991,788","Urban Honolulu, HI MSA",region covers all of hawaii
tulsa,"50,740","969,224","Tulsa, OK MSA",
fresno,"43,423","965,974","Fresno, CA MSA",
albuquerque,"47,581","904,587","Albuquerque, NM MSA",
newhaven,"60,391","861,277","New Haven-Milford, CT MSA",
tallahassee,"44,242","375,751","Tallahassee, FL MSA",
