region,HUD_median_1,HUD_median_2,HUD_median_3,HUD_median_4,FMR_1,FMR_2,FMR_3,FMR_4,census_name
albuquerque,693,849,1229,1504,655.0,802.0,1161.0,1420.0,"Albuquerque, NM MSA"
atlanta,805,954,1263,1535,756.0,896.0,1187.0,1442.0,"Atlanta-Sandy Springs-Roswell, GA MSA"
austin,853,1074,1454,1762,853.0,1074.0,1454.0,1762.0,"Austin-Round Rock, TX MSA"
baltimore,1001,1252,1599,1741,1001.0,1252.0,1599.0,1741.0,"Baltimore-Columbia-Towson, MD MSA"
bham,684,811,1065,1198,627.0,743.0,976.0,1098.0,"Birmingham-Hoover, AL MSA"
boston,1267,1582,1970,2142,1164.0,1454.0,1811.0,1969.0,"Boston-Cambridge-Newton, MA-NH MSA"
buffalo,607,755,965,1092,570.0,710.0,908.0,1027.0,"Buffalo-Cheektowaga-Niagara Falls, NY MSA"
charlotte,730,866,1168,1448,686.0,813.0,1096.0,1359.0,"Charlotte-Concord-Gastonia, NC-SC MSA"
chicago,881,1044,1331,1552,826.0,979.0,1248.0,1455.0,"Chicago-Naperville-Elgin, IL-IN-WI MSA"
cincinnati,591,784,1086,1196,554.0,735.0,1018.0,1121.0,"Cincinnati, OH-KY-IN MSA"
cleveland,632,801,1073,1108,592.0,750.0,1005.0,1037.0,"Cleveland-Elyria, OH MSA"
columbus,655,852,1098,1270,620.0,806.0,1039.0,1202.0,"Columbus, OH MSA"
dallas,772,976,1302,1572,,,,,"Dallas-Fort Worth-Arlington, TX MSA"
denver,792,1025,1504,1744,742.0,960.0,1409.0,1633.0,"Denver-Aurora-Lakewood, CO MSA"
detroit,693,904,1206,1317,646.0,843.0,1124.0,1228.0,"Detroit-Warren-Dearborn, MI MSA"
fresno,695,878,1234,1440,655.0,827.0,1162.0,1356.0,"Fresno, CA MSA"
grandrapids,625,783,1093,1229,590.0,740.0,1033.0,1162.0,"Grand Rapids-Wyoming, MI MSA"
hartford,939,1170,1457,1693,939.0,1170.0,1457.0,1693.0,"Hartford-West Hartford-East Hartford, CT MSA"
honolulu,1382,1820,2682,3078,1382.0,1820.0,2682.0,3078.0,"Urban Honolulu, HI MSA"
houston,750,926,1264,1563,750.0,926.0,1264.0,1563.0,"Houston-The Woodlands-Sugar Land, TX MSA"
indianapolis,666,828,1104,1288,625.0,777.0,1036.0,1209.0,"Indianapolis-Carmel-Anderson, IN MSA"
inlandempire,882,1120,1582,1930,882.0,1120.0,1582.0,1930.0,"Riverside-San Bernardino-Ontario, CA MSA"
jacksonville,827,994,1311,1604,778.0,935.0,1233.0,1509.0,"Jacksonville, FL MSA"
kansascity,732,907,1243,1384,687.0,852.0,1168.0,1300.0,"Kansas City, MO-KS MSA"
lasvegas,843,1038,1530,1816,843.0,1038.0,1530.0,1816.0,"Las Vegas-Henderson-Paradise, NV MSA"
losangeles,1181,1524,2061,2296,1083.0,1398.0,1890.0,2106.0,"Los Angeles-Long Beach-Anaheim, CA MSA"
